id,name,is_active,created_at,updated_at
11,Lactate,1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
12,"Carne si produse din carne",1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
13,"Peste si produse din peste",1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
14,Oua,1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
15,"Legume proaspete si conserve de legume",1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
16,"Fructe proaspete",1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
17,"Fructe deshidratate",1,"2026-01-22 20:21:25","2026-01-22 20:21:25"
18,"Sucuri naturale si compoturi",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
19,"Leguminoase uscate",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
20,"Paine, produse de panificatie",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
21,Seminte,1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
22,"Zahar, produse zaharoase",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
23,"Grasimi alimentare",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
24,"Nu sunt",1,"2026-01-22 20:21:26","2026-01-22 20:21:26"
