id,recipe_id,food_id,qty,unit,cooking_profile_id,notes,created_at,updated_at
1,1,235,200,g,,,"2026-01-25 16:26:56","2026-01-25 16:26:56"
2,1,325,150,g,,,"2026-01-25 16:27:31","2026-01-25 16:27:31"
3,1,343,50,g,,,"2026-01-25 16:27:43","2026-01-25 16:27:43"
4,1,340,80,g,,,"2026-01-25 16:27:55","2026-01-25 16:27:55"
5,1,399,100,ml,,,"2026-01-25 16:31:15","2026-01-25 16:31:15"
6,1,374,80,ml,,,"2026-01-25 16:31:27","2026-01-25 16:31:27"
7,1,400,5,g,,,"2026-01-25 16:36:23","2026-01-25 16:36:23"
8,1,401,5,g,,,"2026-01-25 16:39:50","2026-01-25 16:39:50"
9,1,402,10,g,,,"2026-01-25 16:43:01","2026-01-25 16:43:01"
10,1,339,20,g,,,"2026-01-25 16:43:14","2026-01-25 16:43:14"
11,2,235,50,g,,,"2026-01-25 19:59:30","2026-01-25 19:59:30"
12,2,229,50,g,,,"2026-01-25 19:59:40","2026-01-25 19:59:40"
13,2,232,100,g,,,"2026-01-25 19:59:55","2026-01-25 19:59:55"
14,2,226,100,g,,,"2026-01-25 20:00:24","2026-01-25 20:00:24"
15,2,329,40,g,,,"2026-01-25 20:00:56","2026-01-25 20:00:56"
16,2,398,10,g,,,"2026-01-25 20:01:57","2026-01-25 20:01:57"
17,2,399,2500,ml,,,"2026-01-25 20:02:37","2026-01-25 20:02:37"
18,3,232,200,g,,,"2026-01-25 20:05:00","2026-01-25 20:05:00"
19,3,374,15,ml,,,"2026-01-25 20:05:25","2026-01-25 20:05:25"
20,3,248,3,g,,,"2026-01-25 20:06:01","2026-01-25 20:06:01"
21,5,230,60,g,,,"2026-01-25 20:10:38","2026-01-25 20:10:38"
22,5,374,10,g,,,"2026-01-25 20:10:51","2026-01-25 20:10:51"
23,5,248,3,g,,,"2026-01-25 20:11:07","2026-01-25 20:11:07"
24,6,403,250,g,,,"2026-02-03 19:58:13","2026-02-03 19:58:13"
25,6,374,30,g,,,"2026-02-03 19:58:43","2026-02-03 19:58:43"
26,8,325,350,g,,,"2026-02-03 20:03:50","2026-02-03 20:03:50"
27,8,343,140,g,,,"2026-02-03 20:04:04","2026-02-03 20:04:04"
28,8,400,20,g,,,"2026-02-03 20:04:39","2026-02-03 20:04:39"
29,8,340,50,g,,,"2026-02-03 20:05:01","2026-02-03 20:05:01"
30,8,399,200,ml,,,"2026-02-03 20:05:16","2026-02-03 20:05:16"
31,8,374,140,ml,,,"2026-02-03 20:05:35","2026-02-03 20:05:35"
32,8,404,10,g,,,"2026-02-03 20:10:35","2026-02-03 20:10:35"
33,9,232,50,g,,,"2026-02-03 20:18:11","2026-02-03 20:18:11"
34,9,224,30,g,,,"2026-02-03 20:18:26","2026-02-03 20:18:26"
35,9,229,20,g,,,"2026-02-03 20:18:37","2026-02-03 20:18:37"
36,9,235,20,g,,,"2026-02-03 20:18:49","2026-02-03 20:18:49"
37,9,374,5,ml,,,"2026-02-03 20:19:18","2026-02-03 20:19:18"
38,10,249,200,g,,,"2026-02-03 20:21:55","2026-02-03 20:21:55"
39,11,406,500,g,,,"2026-02-03 20:22:07","2026-02-03 20:22:51"
40,11,229,100,g,,,"2026-02-03 20:23:23","2026-02-03 20:23:23"
41,11,235,100,g,,,"2026-02-03 20:23:39","2026-02-03 20:23:39"
42,10,407,10,ml,,,"2026-02-03 20:25:01","2026-02-03 20:25:01"
43,12,325,180,g,,,"2026-02-03 20:26:00","2026-02-03 20:26:00"
44,12,343,40,g,,,"2026-02-03 20:26:15","2026-02-03 20:26:15"
45,11,306,75,g,,,"2026-02-03 20:26:33","2026-02-03 20:26:33"
46,12,340,15,g,,,"2026-02-03 20:26:54","2026-02-03 20:26:54"
47,11,374,30,ml,,,"2026-02-03 20:27:05","2026-02-03 20:27:05"
48,12,374,70,g,,,"2026-02-03 20:27:11","2026-02-03 20:27:11"
49,11,399,200,ml,,,"2026-02-03 20:27:24","2026-02-03 20:27:24"
50,12,399,180,g,,,"2026-02-03 20:27:26","2026-02-03 20:27:26"
51,12,400,10,g,,,"2026-02-03 20:27:58","2026-02-03 20:27:58"
52,12,404,5,ml,,,"2026-02-03 20:28:18","2026-02-03 20:28:18"
53,12,408,7,g,,,"2026-02-03 20:30:48","2026-02-03 20:30:48"
54,11,409,10,g,,,"2026-02-03 20:31:35","2026-02-03 20:31:35"
55,4,327,50,g,,,"2026-02-03 20:32:54","2026-02-03 20:32:54"
56,4,399,300,g,,,"2026-02-03 20:33:10","2026-02-03 20:33:10"
57,13,332,150,g,,,"2026-02-03 20:58:53","2026-02-03 20:58:53"
58,13,325,35,g,,,"2026-02-03 21:01:44","2026-02-03 21:01:44"
59,13,411,100,g,,,"2026-02-03 21:08:04","2026-02-03 21:08:04"
60,13,374,10,g,,,"2026-02-03 21:08:27","2026-02-03 21:08:27"
